"","destination.plate","destination.row","destination.column","media.vol.ul"
"1003","28","H","7","240"
"1004","28","H","8","240"
"1005","28","H","9","240"
"1006","28","H","10","240"
"1007","28","H","11","240"
"1008","28","H","12","240"
"1009","29","A","1","240"
"1010","29","A","2","240"
"1011","29","A","3","240"
"1012","29","A","4","240"
"1013","29","A","5","240"
"1014","29","A","6","240"
"1015","29","A","7","240"
"1016","29","A","8","240"
"1017","29","A","9","240"
"1018","29","A","10","240"
"1019","29","A","11","240"
"1020","29","A","12","240"
"1021","29","B","1","240"
"1022","29","B","12","240"
"1023","29","C","1","240"
"1024","29","C","12","240"
"1025","29","D","1","240"
"1026","29","D","12","240"
"1027","29","E","1","240"
"1028","29","E","12","240"
"1029","29","F","1","240"
"1030","29","F","12","240"
"1031","29","G","1","240"
"1032","29","G","12","240"
"1033","29","H","1","240"
"1034","29","H","2","240"
"1035","29","H","3","240"
"1036","29","H","4","240"
"1037","29","H","5","240"
"1038","29","H","6","240"
"1039","29","H","7","240"
"1040","29","H","8","240"
"1041","29","H","9","240"
"1042","29","H","10","240"
"1043","29","H","11","240"
"1044","29","H","12","240"
"1045","30","A","1","240"
"1046","30","A","2","240"
"1047","30","A","3","240"
"1048","30","A","4","240"
"1049","30","A","5","240"
"1050","30","A","6","240"
"1051","30","A","7","240"
"1052","30","A","8","240"
"1053","30","A","9","240"
"1054","30","A","10","240"
"1055","30","A","11","240"
"1056","30","A","12","240"
"1057","30","B","1","240"
"1058","30","B","12","240"
"1059","30","C","1","240"
"1060","30","C","12","240"
"1061","30","D","1","240"
"1062","30","D","12","240"
"1063","30","E","1","240"
"1064","30","E","12","240"
"1065","30","F","1","240"
"1066","30","F","12","240"
"1067","30","G","1","240"
"1068","30","G","12","240"
"1069","30","H","1","240"
"1070","30","H","2","240"
"1071","30","H","3","240"
"1072","30","H","4","240"
"1073","30","H","5","240"
"1074","30","H","6","240"
"1075","30","H","7","240"
"1076","30","H","8","240"
"1077","30","H","9","240"
"1078","30","H","10","240"
"1079","30","H","11","240"
"1080","30","H","12","240"
"1081","31","A","1","240"
"1082","31","A","2","240"
"1083","31","A","3","240"
"1084","31","A","4","240"
"1085","31","A","5","240"
"1086","31","A","6","240"
"1087","31","A","7","240"
"1088","31","A","8","240"
"1089","31","A","9","240"
"1090","31","A","10","240"
"1091","31","A","11","240"
"1092","31","A","12","240"
"1093","31","B","1","240"
"1094","31","B","12","240"
"1095","31","C","1","240"
"1096","31","C","12","240"
"1097","31","D","1","240"
"1098","31","D","12","240"
"1099","31","E","1","240"
"1100","31","E","12","240"
"1101","31","F","1","240"
"1102","31","F","12","240"
"1103","31","G","1","240"
"1104","31","G","12","240"
"1105","31","H","1","240"
"1106","31","H","2","240"
"1107","31","H","3","240"
"1108","31","H","4","240"
"1109","31","H","5","240"
"1110","31","H","6","240"
"1111","31","H","7","240"
"1112","31","H","8","240"
"1113","31","H","9","240"
"1114","31","H","10","240"
"1115","31","H","11","240"
"1116","31","H","12","240"
"1117","32","A","1","240"
"1118","32","A","2","240"
"1119","32","A","3","240"
"1120","32","A","4","240"
"1121","32","A","5","240"
"1122","32","A","6","240"
"1123","32","A","7","240"
"1124","32","A","8","240"
"1125","32","A","9","240"
"1126","32","A","10","240"
"1127","32","A","11","240"
"1128","32","A","12","240"
"1129","32","B","1","240"
"1130","32","B","12","240"
"1131","32","C","1","240"
"1132","32","C","12","240"
"1133","32","D","1","240"
"1134","32","D","12","240"
"1135","32","E","1","240"
"1136","32","E","12","240"
"1137","32","F","1","240"
"1138","32","F","12","240"
"1139","32","G","1","240"
"1140","32","G","12","240"
"1141","32","H","1","240"
