Copper,Nickel,Chloramphenicol,Ampicillin,Metaldehyde,Atrazine,Tebuconazole,Azoxystrobin,Dest.Column,Dest.Row,Dest.Plate
0,0,0,0,0,0,0,0,9,B,6
0,0,0,0,0,0,0,0,9,C,6
0,0,0,0,0,0,0,0,9,D,6
0,0,0,0,0,0,0,0,9,E,6
0,0,0,0,0,0,0,0,9,F,6
0,0,0,0,0,0,0,0,9,G,6
0,0,0,0,0,0,0,0,9,H,6
0,0,0,0,0,0,0,0,10,A,6
0,0,0,0,0,0,0,0,10,B,6
0,0,0,0,0,0,0,0,10,C,6
0,0,0,0,0,0,0,0,10,D,6
0,0,0,0,0,0,0,0,10,E,6
0,0,0,0,0,0,0,0,10,F,6
0,0,0,0,0,0,0,0,10,G,6
0,0,0,0,0,0,0,0,10,H,6
0,0,0,0,0,0,0,0,11,A,6
0,0,0,0,0,0,0,0,11,B,6
0,0,0,0,0,0,0,0,11,C,6
0,0,0,0,0,0,0,0,11,D,6
0,0,0,0,0,0,0,0,11,E,6
0,0,0,0,0,0,0,0,11,F,6
0,0,0,0,0,0,0,0,11,G,6
0,0,0,0,0,0,0,0,11,H,6
0,0,0,0,0,0,0,0,12,A,6
0,0,0,0,0,0,0,0,12,B,6
0,0,0,0,0,0,0,0,12,C,6
0,0,0,0,0,0,0,0,12,D,6
0,0,0,0,0,0,0,0,12,E,6
0,0,0,0,0,0,0,0,12,F,6
0,0,0,0,0,0,0,0,12,G,6
0,0,0,0,0,0,0,0,12,H,6
0,0,0,0,0,0,0,0,1,A,7
1,0,0,0,0,0,0,0,1,B,7
0,1,0,0,0,0,0,0,1,C,7
0,0,1,0,0,0,0,0,1,D,7
0,0,0,1,0,0,0,0,1,E,7
0,0,0,0,1,0,0,0,1,F,7
0,0,0,0,0,1,0,0,1,G,7
0,0,0,0,0,0,1,0,1,H,7
0,0,0,0,0,0,0,1,2,A,7
1,1,0,0,0,0,0,0,2,B,7
1,0,1,0,0,0,0,0,2,C,7
1,0,0,1,0,0,0,0,2,D,7
1,0,0,0,1,0,0,0,2,E,7
1,0,0,0,0,1,0,0,2,F,7
1,0,0,0,0,0,1,0,2,G,7
1,0,0,0,0,0,0,1,2,H,7
0,1,1,0,0,0,0,0,3,A,7
0,1,0,1,0,0,0,0,3,B,7
0,1,0,0,1,0,0,0,3,C,7
0,1,0,0,0,1,0,0,3,D,7
0,1,0,0,0,0,1,0,3,E,7
0,1,0,0,0,0,0,1,3,F,7
0,0,1,1,0,0,0,0,3,G,7
0,0,1,0,1,0,0,0,3,H,7
0,0,1,0,0,1,0,0,4,A,7
0,0,1,0,0,0,1,0,4,B,7
0,0,1,0,0,0,0,1,4,C,7
0,0,0,1,1,0,0,0,4,D,7
0,0,0,1,0,1,0,0,4,E,7
0,0,0,1,0,0,1,0,4,F,7
0,0,0,1,0,0,0,1,4,G,7
0,0,0,0,1,1,0,0,4,H,7
0,0,0,0,1,0,1,0,5,A,7
0,0,0,0,1,0,0,1,5,B,7
0,0,0,0,0,1,1,0,5,C,7
0,0,0,0,0,1,0,1,5,D,7
0,0,0,0,0,0,1,1,5,E,7
1,1,1,0,0,0,0,0,5,F,7
1,1,0,1,0,0,0,0,5,G,7
